제목,주최,마감일,분야,링크,내용
2025 부산관광 아이디어 공모전,부산광역시/특허청,D-11,기획/아이디어,https://www.campuspick.com/contest/view?id=31152,"● 참가 자격

- 부산 시민 또는 부산 디지털관광주민증을 보유한 국민 누구나

*부산 디지털관광주민증 : 대한민국 구석구석 앱 또는 웹사이트에서 회원 가입 후, 부산을 포함한 원하는 지역을 선택해 신청하면 QR코드 형태의 디지털 관광증을 발급받을 수 있습니다

● 공모 주제(택 1 가능)

공모주제1 : 나만의 특별한 부산(釜山) 관광 코스와 부산(釜山)스러운 에피소드를 제안해 주세요
공모주제2 : 크루즈 외국인 관광객, 뚜벅이 외국인 관광객 중 둘다 또는 어느 하나를 선택하여 부산(釜山) 관광 코스와 함께 부산(釜山)스러운 에피소드를 제안해 주세요.

● 공모 일정

2025년 9월 8일 ~ 10월 05일

● 시상 내역

- 대상(1명) : 상금 100만원 및 부산관광공사 사장상
- 금상(2명) : 상금 50만원 및 한국발명진흥회장상
- 은상(4명) : 상금 30만원 및 부산관광공사 사장상
- 입선(8명) : 상금 10만원

● 접수방법/제출형식

아이디어로 홈페이지 가입 후, 과제제출 페이지의 양식에 맞춰 접수

● 심사 기준

- 제안작성의 창의성, 노력도, 완성도
- 제안시행의 시행난이도, 경영자원 투입도
- 제안시행의 경영개선 효과, 적용성, 지속성

● 유의 사항

- 1차 서면 심사 결과, 상위 입상 대상이 되는 아이디어 제안자에게는 여행실사비용을 제공하고 본인의 SNS에 숏츠, 릴스, 피드 등을 게시할 것을 요청할 예정입니다.

- 타 공모전 수상작, 유사작으로 판명되거나 타인의 창작물을 표절, 복제한 경우, 타인의 권리를 침해할 수 있는 제안은 포상 대상에서 제외됩니다.

● 문의 사항

- E-mail : idea@kipa.org
- 대표전화: 02-3459-2809"
"충청북도 교육청 ""함께해요! 몸활동 포토 챌린지 공모전""",충청북도교육청,D-4,사진/영상/UCC,https://www.campuspick.com/contest/view?id=31122,"● 응모 개요

-‘어디서나 운동장’정책을 통해 학생들이 전통적인 운동장을 넘어 일상 속에서 몸을 움직이고 운동하는 문화를 널리 알리고 공유하고자 합니다.
다양한 몸활동 실천문화를 사진을 통해 남겨주세요. 여러분이 운동장에서 움직이는 모습, 창의적인 공간에서 활동하는 모습,
신기한 구도나 몸짓, 친구와 함께 역동적이며 즐겁게 생활하는 여러분의 모습을 전달해 주세요.



● 응모 자격

- 충청북도에 거주하는 학생 및 일반인 누구나
(개인 또는 팀, 분야 구분 응모 가능)
* 학생 참가자는 가산점 부여



● 응모 주제

‘함께해요! 몸활동 포토 챌린지’
- ‘어디서나 운동장’을 주제로 한 몸활동 사진 및 일상 속에서 창의적으로 움직이고 즐기는 모습
ex) 운동장에서 움직이는 모습, 창의적인 공간에서의 활동, 신기한 구도나 몸짓, 친구와 함께 역동적이고 즐겁게 생활하는 순간 등



● 공모 일정

- 진행 기간 : 2025년 09월 15일(월) ~ 2025년 09월 28일(일) 18:00까지



● 참여 방법

- 창의적인 제목과 2~3줄 설명 작성
- 몸활동 사진 제출 (온라인 접수 페이지)
- 각 작품마다 제목(필수)과 설명(2~3줄) 작성
(접수페이지: https://cbedu.spectory.net/cbnedu/apply/terms?bno=127)



● 제출 규격

- 최근 1년 이내 촬영한 몸활동 사진
- JPG 또는 PNG / 장축 3,600px 이상 / 10MB 이하
- 기본 보정 가능, 과도한 합성·편집 지양
- 타인이 포함된 경우, 해당 인물의 초상권 동의서 필수 제출
- 각 작품마다 제목(필수)과 설명(2~3줄) 작성
- 학생의 경우 재학 증명서 또는 신분 확인서류 (가산점용) 및 학부모(법정대리인) 동의서 (필수 제출)



● 제출 방안

- 온라인 접수 페이지를 통해 제출 (스펙토리 이용)
- 공모전 모집 페이지 내 참가 신청서 작성 및 제출
- 파일명: ‘[공모전1]참가자명_작품제목.jpg’ 형식 권장
- 접수 후 수정 불가, 마감일 이후 제출 시 실격 처리



● 운영 일정

- 운영기간 : 9월 15일 ~ 9월 28일
- 심사시간 : 9월 29일 ~ 10월 10일
- 당선작 발표: 10월 16일



● 공모전 혜택

- 대상 : 아이패드 Wi-Fi형 128GB (1명)
- 최우수상 : 에어팟4 (2명)
- 우수상 : 블루투스 스피커 (4명)
*경품은 사정상 동일금액대의 다른 상품으로 변경될 수 있습니다
*부정한 방법으로 이벤트에 참여한 것이 확인될 시 당첨이 취소될 수 있습니다



● 문의 사항

- 기타 문의사항은 이메일 jh.kwon@jrerpertory.com 으로 연락해 주시길 바랍니다."
2025 코리아투게더 버스킹 페스티벌 참가자 모집,"(사)코리아투게더, (사)월드휴먼브리지",D-6,예체능,https://www.campuspick.com/contest/view?id=31102,"🎤 2025 코리아투게더 버스킹 페스티벌 참가자 모집 중!

✅ 신청 방법
네이버폼 온라인 신청
https://naver.me/5tfcRRBH
** 반드시 라이브 영상을 제출해주세요!
(음향 보정 등의 후편집 영상 제출 불가)

▪일시 : 2025년 11월 1일 (토) 오후 2시
▪공연장소 : 경기도 고양시 일산동구 웨스턴돔 타워B동 분수대광장
▪접수기간 : 2025년 9월 15일 (월) ~ 2025년 9월 30일 (화) 23:59까지
▪지원자격 : 버스커 가능한 개인 또는 팀 누구나
▪장르 : 케이팝, 힙합, 클래식 등 노래 분야 한정
▪심사 : 예선 - 비대면 영상심사 | 결선 - 대면 경연대회
▪모집규모 : 결선팀 10팀
▪시상내역 : 대상 200만원 (1팀), 최우수상 100만원 (1팀), 우수상 50만원 (2팀)
본선 진출자 공연비 20만원 지급 (입상자 제외)
기타소득세 및 지방소득세를 공제한 후 지급

** 공연영상 제출 방법 및 상세 안내는 네이버폼 내 설명되어 있습니다.
그 외 모든 문의사항은 (사)코리아투게더 ☎ 031-932-9183로 문의주세요!

코리아투게더 인스타그램 공식 계정 (@koreatogether)에서도 자세한 사항 확인 가능합니다.
https://www.instagram.com/koreatogether/"
2025 동구 어울림한마당 두두다동 [전국 트롯 경연대회] 참가자 모집,대구광역시 동구,D-6,예체능,https://www.campuspick.com/contest/view?id=31074,"2025 동구 어울림한마당 두두다동 [전국 트롯 경연대회] 참가자 모집
🎉 2025 동구 어울림한마당 전국 트롯 경연대회 참가자 모집! 🎤

✨ 대구 동구를 대표하는 2025 동구 어울림한마당에서 개최되는 뜨거운 트로트 축제의 무대에 도전하세요!

📌 모집 분야
👉 트로트

📌 모집 대상
👉 전국 누구나 지원 가능

📌 상금 규모 (총 300만원) 💰
🏆 대상 (1명) 100만원 /🥇 최우수상 (1명) 50만원/ 🥈 우수상 (1명) 30만원/ 🎁 참가상 (12명) 각 10만원

📌 모집 기간
✅ 2025년 9월 15일(월) ~ 9월 30일(화) 20시까지
※ 주최 측 사정에 따라 일정 변경될 수 있음

📌 신청 방법
✅ 네이버폼 온라인 신청
✅ [참가자 정보 · 팀 소개 · 공연/라이브 5분 이내의 영상] 제출
⚠️ 영상 제출 필수! (신청서 내 항목 5. 참가자 공연 영상에 [링크 첨 부] )

📌 선정 방법
🎬 제출 영상 내부 심사를 통해 검토 → 15개 팀 선발

📌 선정팀 발표
📢 2025년 10월 2일(목) / 홈페이지 및 개별 통보

📌 본선 경연 일정
📍 2025년 10월 18일(토) 17시
📍 대구 율하체육공원 메인무대

🔥 전국의 트롯 고수들 모여라!
👉 지금 바로 도전하세요!"
2025 Blintn Story Contest 블린튼 스토리 콘테스트,Blintn,D-7,"기획/아이디어, 문학/수기/시나리오",https://www.campuspick.com/contest/view?id=31059,"■ 기업 소개 및 공모 목적
- Blintn은 아시아와 영미권의 프리미엄 콘텐츠에 집중하여
글로벌 시장을 무대로 다양한 제작투자를 진행하는 콘텐츠 투자사입니다.

저희는 국경을 넘어서는 협업을 강점으로 삼아, 유망한 창작자분들께 새로운 기회를 제공하고 있습니다.
한국, 일본, 중화권, 동남아시아, 인도 등 이미 시장 규모가 크거나 빠르게 성장하고 있는 지역의 주요 파트너들과 함께 다양한 프로젝트에 제작투자하고 있으며, 장르와 지역의 경계를 뛰어넘는 포트폴리오를 빠르게 확장해 나가고 있습니다.

이번 공모전을 통해, 글로벌 무대에서 두각을 나타낼 수 있는 신진 창작자들을 모시며,
함께 시너지를 창출할 수 있는 환경을 만들어가고자 합니다.


■ 응모 분야
- 드라마, 영화, 웹툰


■ 지원 자격
- 신인 작가(기성 작가 지원 불가)
- 방송사/제작사 등과 집필 계약이 없는 자
- 2인 이상 공동 집필 및 지원 불가


■ 모집 기간
- 2025. 09. 16 (화) - 2025. 10.01 (수) 23:00


■ 지원 방법
- 구글 폼으로 신청서 접수 https://forms.gle/td7pMx5QJ3xDFzcs8


■ 시상 규모
- 대상 | 1편 | 10,000,000원
- 최우수상 | 1편 | 5,000,000원
- 우수상 | 1편 | 3,000,000원


■ 당선 혜택
- Blintn 오리지널 기획 및 공동제작 프로젝트 참여 기회 제공
- 글로벌 OTT 및 파트너사와의 연계를 통한 제작 추진 가능성 검토
- 당선 작가와 정식 집필 계약 체결 우선 협의



■ 응모 양식 *분야 상관없이 최대 2작품까지 지원 가능

- 드라마
제출 형태 :‘기획안’ 및 ‘70분 단막 OR 4부작 이상 시리즈 대본 1,2부’ (택1)
제출 양식 : 기획안 20p 내외, 대본 회당 35p 내외


- 영화
제출 형태 :‘기획안’ 및 ‘100분 이상 시나리오’
제출 양식 : 기획안 20p 내외, 시나리오 70p 내외


- 웹툰
제출 형태 : ‘기획안’ 및 ‘시나리오 OR 원고’ (택1) *그림 원고 제출 불가
제출 양식 : 기획안 20p 내외, 시나리오 및 원고 최대 70p


■ 심사 일정 및 단계
10월 중순 - 예심 통과자 발표 예정 *통과자 개별 통보 예정
10월 말 - 예심 통과자 대상으로 본심 심사 (맞춤형 전형) 진행
11월 초 - 최종 당선작 발표 예정 *당선자 개별 통보 예정



■ 유의사항
- 당선작의 저작권은 작가 본인에게 있습니다.
- 응모작은 타인의 저작권을 침해하지 않는 순수 창작물이어야 합니다.
- 표절, 명예훼손 등 법적 분쟁의 여지가 있는 작품은 출품 불가합니다.
- 타 공모전 당선작이거나 상업화에 제약이 있는 작품은 출품 불가합니다.
- 접수된 서류는 반환하지 않으며, 선정되지 않은 서류는 당선작 선정 절차 종료 후 모두 파기 처리합니다.
- 응모자 1인당 분야 관계없이 2작품까지 응모 가능합니다.
- 본심 진행 절차의 경우 예심 통과자에게 개별 연락을 통해 안내드릴 예정입니다.
- 당선작에 대한 영상화 및 웹툰화 권리는 Blintn이 2년 동안 독점적으로 소유합니다.
- 영상화 및 웹툰화 과정에서 스토리의 일부가 변형, 수정, 가감 등 보완될 수 있습니다.
- 동일 기획안으로 각각 다른 분야 선택하여 접수 가능합니다.
- 본심 과정에서 별도의 인터뷰 과정이 진행될 수 있습니다.
- 공모전 진행 상황에 따라 심사 단계 및 일정이 변경될 수 있습니다.



■ 문의처
- partners@blintn.com"
2025년 제15회 ICT콤플렉스 피우다프로젝트,과학기술정보통신부,D-5,"기획/아이디어, IT/소프트웨어/게임",https://www.campuspick.com/contest/view?id=31044,"2025년 제15회 ICT콤플렉스 피우다프로젝트









● 참가 자격

- 해당 주제에 관심있는 누구나 최대 5인까지 팀 구성하여 신청 가능

※ 가급적 3~5인 팀 구성 권장

※ 신청 마감일까지 ICT콤플렉스 홈페이지 회원가입 필수(팀원 전원)

※ 회원가입(무료) www.ictcoc.kr/00_mem_n/mem01.asp




● 공모 주제

- 임팩트조직의 활동을 돕는 IT 솔루션 개발

· 세부 주제 중 희망 주제를 선택하여 개발 진행

· 1팀 당 1건의 신청만 가능하며, 신청서 내 주제 번호 기입 필요

※ SW구현을 위한 HW 개발도 가능합니다.




● 시상 내역

- 최우수상(1팀) : 상장(정보통신산업진흥원장상) 및 상금 300만원 수여

- 우수상 (2팀) : 각 상장(정보통신산업진흥원장상) 및 상금 200만원 수여

- 장려상 (3팀) : 각 상장(정보통신산업진흥원장상) 및 상금 100만원 수여




● 공모 일정

- 신청접수 : 9.1.(월) ~ 9.29.(월) 16:00까지 시간 엄수(시간 초과 시 접수불가)

- 예선심사(서류) 및 참가팀 선정 : 9.30.(화) ~ 10.2.(목)

- SW개발 진행 : 10.2.(목) ~ 12.14.(일)

- 오리엔테이션 : 10.15.(수)

- 중간심사(발표) 및 결선팀 선발 : 11.11.(화) ~ 11.12.(수)

- 최종(발표) 및 시상식 : 12.17.(목)




● 접수 방법

- 신청서 다운로드 후 작성 및 이메일 제출(ictcoc@kfict.or.kr)

※ 신청서 상 내용과 관련한 증빙(상장, 논문, 자격증, 학위 등), 참고자료 등은 압축하여 함께 첨부




● 유의 사항

- 신청서의 내용이 사실과 다른 경우 선정 취소

- 기 완성된 서비스이거나 시장에 출시 및 상용화된 서비스로 참가 시 선정 및 수상 취소

- 출품작과 관련 불법 도용 및 저작권 침해 등의 문제 발생 시 해당 팀에 모든 책임이 있음




● 문의 사항

- 피우다프로젝트 운영 사무국(02-6953-0536~7, ictcoc@kfict.or.kr)








대학생 공모전 사이트 씽굿"
2025년 강원특별자치도민 심폐소생술 경연대회,원주세브란스기독병원 강원심폐소생교육센터,D-6,기타,https://www.campuspick.com/contest/view?id=31039,"■ 심폐소생술 경연대회


■ 참가 대상

: 강원특별자치도민 (고등학생 이상)

: 2인 1조 (강원특별자치도 18개 시.군, 총 36개 팀)


■ 대회 일시

: 2025.10.24 (금) 09:00~16:30


■ 대회 장소

: 원주 오키드 호텔 오키드 홀


■ 대회 시상

: 최우수상 (1팀) 보건복지부장관상

: 우수상 (2팀) 강원특별자치도지사상


■ 참가신청

: 강원심폐소생교육센터 홈페이지 (https://www.gcpr.or.kr/) [행사안내] - [공지사항] 참고


■ 대회 문의

: 강원심폐소생교육센터: 033-741-0844
: E-mail: gcpr@yonsei.ac.kr



※ 선수 선발 제외 대상

: 역대 전국 일반인 심폐소생술 경연대회 참가 입상 경력자

: 응급의료에 관한 법률 제2조에 따른 응급의료종사자

: 간호학과, 응급구조학과, 치.의예과, 한의학과 등 의료인 양성학과 재학생

: 소방공무원 및 의용소방대 설치법에 띠른 의용소방대원"
2025 STEAM발전 캡스톤프로젝트 공모 안내,융합과학문화재단,D-6,"기획/아이디어, 디자인, 예체능, 문학/수기/시나리오",https://www.campuspick.com/contest/view?id=31037,"[2025 STEAM발전 캡스톤프로젝트 공모 안내]

[공모 개요]
주제: “우주개척: 함께 달과 화성으로!”
- Pioneering Space: Go to the Moon and Mars Together!
▶참여 대상: 1) 대학(원)생 2)STEAM 교육에 관심이 있는 일반인 또는 관련 분야 전공 예정 예비대학생(고등학교 1학년 이상)
▶프로젝트 내용: 전공분야 기반 주제관련 융합적 자유 아이디어를 주최측이 제공하는 공식 키트를 활용하여 1)작품, 2)활동, 3)프로그램, 4)주제탐구, 5)POC 등 모든 유형의 프로젝트 가능함.
※ 1개팀 1키트 무료 제공하며 중복신청 불가합니다.
※ 키트 관련 문의: 융합과학문화재단 사무국(031-553-7774)

▶참가신청 링크: https://ngfsteam.org/capstone2025

▶심사 기준
- 총점 200점 만점: 1)서류-프로젝트 결과보고서(100점), 2)본선 발표(100점)
- 서류심사는 영역별로 신청 단체 및 팀 중에서 상위 점수(100점 만점) 15개 팀 이하로 선정
* 목표와 가치, 스토리텔링, 교구재(키트) 활용, 효과성, 창의성, 발표 등으로 심사함.
- 본선 심사는 대회 당일 실시간 진행하며 서류(100)+본선(100)=200점 만점 고점자 순 시상

▶ 수상팀 특전:
※ 상장 및 상금 (산업통상자원부장관상 외 다수)
※ 본선진출팀 재단산하 포디프레임학회 학술저널 게재(수상후 순차게재)

※ 세부 시상 내역
- 대상(1팀): 산업통상자원부장관상(상장) / 팀상금 100만원, / 학술지 게재 특전
- 금상(1팀): (재)융합과학문화재단이사장상 / 팀상금 50만원 / 학술지 게재 특전
- 은상(2팀): (재)융합과학문화재단이사장상 / 팀상금 20만원 / 학술지 게재 특전
- 동상(3팀): 포디수리과학창의연구소장상 / 상장 개별 발급 / 학술지 게재 특전

[주요 일정]
▶참가신청접수: 2025.09.30(월) 24:00까지
▶프로젝트 마감 및 보고서 최종제출기간: 2025.09.30(화) 24:00까지
▶본선진출팀 발표: 2025.10.02(목) 14:00
▶본선발표용 PPT, 발표동영상 제출일: 2025.10.10(금) 18:00
▶본선 발표 및 심사: 2025.10.18(토) 10:00~12:00
▶시상식: 2025.10.18(토) 16:00

[찾아보기]
▶Capstone Project 상세안내 페이지: https://ngfsteam.org/capstone2025
▶지난 대회 수상작 보기: https://ngfsteam.org/imscc2024_result_cst
▶수상작 학술지 게재 논문 보기: https://ngfsteam.org/the_steam

▶유의 사항
- 본 대회의 공식지정 교구재 [포디프레임]은 주최측에서 무료로 제공하나 추가 자료는 참가자가 직접 구매해야 함.

▶문의
- 대회사무국 캡스톤담당자 ☎ 031-553-7774
- Email: admin@ngfsteam.org
- 홈페이지: https://www.ngfsteam.org"
2025 아리수 콘텐츠 공모전,서울아리수본부,D-DAY,"사진/영상/UCC, 문학/수기/시나리오",https://www.campuspick.com/contest/view?id=31035,"2025 아리수 콘텐츠 공모전


● 접수기간

- 2025. 09. 01 ~ 09.24


● 공모주제

- 일상 속에서 아리수와 함께한 다양한 이야기


● 공모부문

- 영상부문 : 60초 이내 숏폼 영상(쇼츠, 릴스 등)

- 체험수기 : A4 1쪽 내외 (형식 자유)

* 개인(팀)당 부문별 최대 1점 제출 가능


● 신청자격

- 아리수에 관심 있는 누구나(개인 또는 팀)


● 신청방법

- 작품과 참가서류를 구글폼으로 제출

- 영상 : 파일 업로드 또는 개인 SNS 게시 후 링크 제출

- 체험수기 : 양식 다운로드하여 작성 후 제출

* 양식은 서울아리수본부 누리집 또는 내손안에서울 페이지에서 다운로드

* 포스터 QR코드 참조


● 시상내역

1. 영상 부문

- 대상 1편 : 100만원

- 최우수상 2편 : 50만원

- 우수상 3편 : 20만원

- 2. 체험수기

- 대상 1편 : 100만원

- 최우수상 2편 : 50만원

- 우수상 3편 : 20만원

- 3. 기타

- 참여자 중 추첨을 통해 20명에게 커피&케이크 기프티콘 증정

* 수상작은 서울시 아리수 홍보영상, 책자로 제작될 수 있습니다


● 결과 발표

- 2025. 10월 중 서울아리수본부 홈페이지 공고 및 개별통지


● 문의처

- 02-6952-7939 (평일 10시~18시)"
56회 천마문학상 현상공모,영남대학교 언론문화출판원,D-6,문학/수기/시나리오,https://www.campuspick.com/contest/view?id=31027,"영남대학교 학보사 영대신문에서 56회 천마문학상을 개최합니다.

올해 56회를 맞는 ‘천마문학상’은 전국 규모의 문학 공모전으로 대학생들의 문학에 대한 관심과 창작열을 높이고, 문예 역량을 키움으로써 문학에 뜻이 있는 대학생들의 등용문이 되고 있습니다. 그리고 이를 통해 대학 문단 발전에 크게 기여하고 있습니다.

올해도 그 문을 활짝 열겠습니다. ‘문학의 깃발 천마에서 펄럭이다’ 많은 참여 바랍니다.

<주제>
- 현상분야 : 시 / 소설 / 수필

<기간 및 일정>
- 응모기간 : 2025년 8월 18일(월) ～ 9월 30일(화)
- 당선발표 : 11월 중 / 당선자 개별 공지 및 본사 홈페이지 공지
- 시상식 : 11월 중순 영남대학교에서 진행하며 자세한 일정은 개별공지

<참가대상 / 응모자격>
- 전국 2년제 이상 대학 재학생 또는 휴학생

<시상내역>
- 상금 : 대상 100만 원(1명)
- 우수상 70만 원(1명)
- 가작 30만 원(2명)
※ 수상작은 본 대학교 총장 명의의 상장 및 상금 수여
※ 경우에 따라 응시 작품의 질이 현저하게 미달할 시 당선작을 선정하지 않는다.

<심사기준>
가. 작품의 독창성
나. 발상의 전환과 상상력
다. 탄탄한 구성력
라. 사고의 깊이와 폭
마. 기타 세부적인 사항은 심사위원과의 협의 후 조정

<응모분야 / 현상분야>
- 현상분야
* 시 (3편)
* 소설 (200자 원고지 90매 이내)
* 수필 (200자 원고지 25매 이내)

<참가방법>
- 제출: ①우편/방문 접수 - 응모작품, 신청서, 재학(휴학) 증명서를 서류봉투에 담아 제출(발송)
②메일 접수 – 응모작품(.hwp), 신청서(.hwp, .pdf), 재학(휴학) 증명서(.pdf)를 아래 메일로 전송 (제시된 확장자 엄수 요망)
- 우편: 경상북도 경산시 대학로 280 영남대학교 학생지원센터 306호(영대신문 편집국)
- 메일: pressyu@ynu.ac.kr

<문의처>
영대신문 편집국 053)810-1720~1
담당자 010-8630-9132(문자로 문의)

<기타사항 / 유의사항>
- 2025년 9월 30일(화) 소인까지 유효하다.
- 겉봉에 ‘천마문학상 응모작품’이라고 표기한 후 신청서를 동봉한다.
- 신청서는 방문 수령하거나 영대신문 홈페이지에서 다운로드받는다.
(주소: https://yumedia.yu.ac.kr/news/articleView.html?idxno=23496)
- 응모 시 재학(휴학)증명서도 함께 제출한다.
- 메일로 응모할 시, 작품은 한글파일(.hwp)로 재학(휴학) 증명서는 PDF로 제출한다.
- 우편(메일) 발송 후 010-8630-9132(담당자)로 문자메시지를 발송한다.
*우편(메일) 수령 후 확인 메시지 발송 예정
- 출품작은 국내외 미발표작에 한하며, 응모작품은 반환하지 않는다.
- 입상자는 시상식에 참석해야 하며, 그렇지 않을 시 수상 의사 없음으로 간주해 입상을 취소한다.
- 경우에 따라 당선작이 없을 시, 시상을 하지 않는다."
